,y_test,LR,SVR,DT,RF,URF,GB,XGB,BT,NN
1743,116.7910905,227.51551067219654,0.5586471840899535,114.77040249999999,120.02887180361445,129.77649661625438,141.57408470516472,129.9898564293055,117.66262145,189.53920298602765
1744,250.0061705,266.33835594476244,1.425707235064509,256.991834,249.9456467935798,254.52375852259863,254.03955640154882,255.82318088811942,270.34224955,255.58252955020527
1745,46.6486575,27.714932609524205,-0.8792717224429679,47.402701,47.54582464702692,47.464710961579456,45.34429071818399,48.04454183836911,47.261309649999994,50.674201009724115
1746,55.0443015,44.81529030365642,-0.9002759655426347,53.871612,49.96501474502101,50.8984144723417,50.08950062491368,50.82006064331264,49.68565455,50.81634090180212
1747,46.112677000000005,26.880808438983763,-0.9145577251681918,45.578663,46.34884196151117,47.186292213334355,45.11286535420905,47.89418012173822,45.996325750000004,50.72984059675605
1748,70.8274305,90.0811333846074,-0.7215433178031752,75.03814399999999,71.94731101665768,75.4276741376344,71.11249337016051,72.50660620102549,69.2294963,55.83265108328863
1749,230.864915,241.85328764088243,1.1067242724362851,216.2461725,226.2537512349007,218.5469444296697,220.65223144264417,210.9238152831281,215.31953585000002,220.90450471278618
1750,261.643262,253.83905551496667,1.374719985315223,255.355706,250.43068806126368,249.34527978944723,250.6733058272518,248.95338834579852,248.83771989999997,257.51240875128974
1751,119.796995,140.26863107146286,-0.09963526401635224,111.99545249999998,123.92444601686698,128.45090135858368,128.5366421158248,129.9221247653304,119.16841419999999,123.12486134104736
1752,46.578519,33.145520937669176,-0.9172398039482126,46.4227285,47.608677196758045,48.632516726902494,50.24439425249411,50.197974727001075,47.39658300000001,52.26481308475702
1753,114.94760600000001,105.06592459036119,-0.08386179513914176,115.9341335,117.38431988937074,120.12329431827364,136.15102503908977,133.63638915796787,116.89114165000001,125.58669967169217
1754,48.163517999999996,59.8452040603328,-0.931212626423886,45.7069225,47.20196294100599,47.49972894879981,44.341696013480764,48.029992306365244,46.4187518,52.184293679799865
1755,73.9017255,69.48297565540588,-0.6899035677665506,71.9164345,69.31983483224782,67.08560193780588,65.25475658974821,65.82686288995805,65.95024829999998,75.6307957036915
1756,212.4257,145.02677027273674,0.6868167051653005,201.4982965,207.8928320842748,203.47758316319872,207.5951543496518,214.859707692273,204.64871689999998,170.21444384920392
