,models,mae,mse,rmse,cvrmse
0,LR,18.310375975562213,800.3942532523566,28.291239867710935,0.21816915579023236
1,SVR,11.331457507593848,449.4506556639961,21.200251311340537,0.1634866818408607
2,DT,10.195203481582954,474.3773718167978,21.7802059635991,0.1679590279618335
3,RF,8.1135786337247,258.09001450485647,16.065180188994347,0.12388735226309643
4,URF,8.1135786337247,258.09001450485647,16.065180188994347,0.12388735226309643
5,GB,10.233093633301447,335.0601543129829,18.30464843456391,0.14115711134186232
6,XGB,10.017282134111909,319.8705401093654,17.884924939998083,0.13792039492706626
7,BT,8.416635105433791,288.78302042478737,16.993617049492062,0.1310470344476337
8,NN,13.603889915678687,501.8180652664614,22.40129606220277,0.17274859190868216
