,features,kBest,RFE,EM
0,temp_C,881.2610167238322,6,0.013258988152003942
1,solarRad_W/m2,3328.9567731530246,7,0.01358220842121439
2,Week day,2100.182109051791,5,0.007283729307182465
3,Hour,4.559372913277425,1,0.08526381371194555
4,Holiday,17.769193938863165,3,0.00017518362679400687
5,Power-1,83709.85912343145,2,0.8777196796400278
6,wk_holiday,2259.8526841699,4,0.0027163971408319288
