Day,Power_kW,temp_C,solarRad_W/m2,Week day,Hour,Holiday,Cluster
2018-07-06,54.507884,16.438333333333333,1.5020833333333334,4,5,0.0,1
2018-07-06,53.223541000000004,16.26,12.928083333333333,4,6,0.0,1
2018-07-06,127.16852949999999,16.30666666666667,143.525,4,7,0.0,1
2018-07-06,201.7535045,16.83666666666667,273.71666666666664,4,8,0.0,0
2018-07-06,243.8444705,17.980833333333333,487.97499999999997,4,9,0.0,0
2018-07-06,261.7190815,19.719166666666666,702.4666666666667,4,10,0.0,2
2018-07-06,281.12319249999996,20.88833333333334,841.3333333333334,4,11,0.0,2
2018-07-06,268.92193399999996,21.375833333333333,918.1666666666666,4,12,0.0,2
2018-07-06,272.269354,21.90833333333333,969.4166666666666,4,13,0.0,2
2018-07-06,278.114666,22.325833333333335,968.75,4,14,0.0,2
2018-07-06,287.64935049999997,22.489166666666666,921.9166666666666,4,15,0.0,2
2018-07-06,272.529369,22.320000000000004,781.9166666666666,4,16,0.0,2
2018-07-06,262.74756099999996,22.151666666666667,627.0333333333334,4,17,0.0,2
2018-07-06,252.36291150000002,21.659999999999997,443.11666666666656,4,18,0.0,0
2018-07-06,209.09401200000002,20.89666666666666,254.60833333333335,4,19,0.0,0
2018-07-06,182.65726,19.504166666666666,74.365,4,20,0.0,1
2018-07-06,108.87811299999998,18.120833333333334,3.31375,4,21,0.0,1
2018-07-06,58.30891,17.956666666666667,2.31625,4,22,0.0,1
2018-07-06,49.844001500000005,17.818333333333335,2.193916666666667,4,23,0.0,1
2018-07-07,48.8830385,17.819166666666668,1.92175,5,0,0.0,1
2018-07-07,48.1292135,17.807500000000005,137.63916666666668,5,7,0.0,1
2018-07-07,51.6387605,18.225,269.14166666666665,5,8,0.0,0
2018-07-07,52.5652005,19.070833333333336,473.20833333333326,5,9,0.0,0
2018-07-07,54.1733605,20.205,719.375,5,10,0.0,2
2018-07-07,140.62244850000002,21.242499999999996,842.75,5,11,0.0,2
2018-07-07,128.700433,22.313333333333333,934.25,5,12,0.0,2
2018-07-07,129.1092465,23.25166666666667,970.75,5,13,0.0,2
2018-07-07,128.0600095,23.937499999999996,959.25,5,14,0.0,2
2018-07-07,62.060992000000006,24.263333333333335,890.25,5,15,0.0,2
2018-07-07,56.899803500000004,24.0975,746.4916666666667,5,16,0.0,2
2018-07-07,57.348383999999996,23.498333333333335,609.775,5,17,0.0,2
2018-07-07,56.9469995,22.539166666666663,451.13333333333327,5,18,0.0,0
2018-07-07,55.470594999999996,21.634166666666662,252.78333333333333,5,19,0.0,0
2018-07-07,56.8657175,20.651666666666667,73.72583333333334,5,20,0.0,1
2018-07-07,46.8448705,19.02416666666667,4.024333333333334,5,21,0.0,1
2018-07-07,49.352595,18.1025,2.0068333333333332,5,22,0.0,1
2018-07-07,47.802556,17.746666666666666,2.38075,5,23,0.0,1
2018-07-08,47.089153499999995,17.131666666666668,143.83916666666667,6,7,0.0,1
2018-07-08,47.766940500000004,18.5225,342.1666666666667,6,8,0.0,0
2018-07-08,48.660824,20.764166666666668,535.3666666666667,6,9,0.0,0
2018-07-08,51.0199685,21.756666666666664,714.9833333333332,6,10,0.0,2
2018-07-08,53.113417000000005,22.150833333333328,844.75,6,11,0.0,2
2018-07-08,52.8313335,23.899166666666673,941.5833333333334,6,12,0.0,2
2018-07-08,51.08093,25.325,977.4166666666666,6,13,0.0,2
2018-07-08,52.070735,26.171666666666667,939.5833333333334,6,14,0.0,2
2018-07-08,53.3583555,25.399999999999995,906.5833333333334,6,15,0.0,2
2018-07-08,54.473797999999995,25.382500000000004,794.6666666666666,6,16,0.0,2
2018-07-08,53.369062,23.899166666666662,637.35,6,17,0.0,2
2018-07-08,54.8480885,23.070833333333336,446.9166666666667,6,18,0.0,0
2018-07-08,51.2450235,22.4875,244.89166666666665,6,19,0.0,0
2018-07-08,51.628928,21.570833333333336,68.715,6,20,0.0,1
2018-07-08,49.87918,20.04,3.4243333333333332,6,21,0.0,1
2018-07-08,49.7587865,19.0175,2.394083333333333,6,22,0.0,1
2018-07-08,49.5184365,18.426666666666666,2.3459999999999996,6,23,0.0,1
2018-07-09,49.4681815,18.110833333333336,2.76375,0,0,0.0,1
2018-07-09,45.718284499999996,18.156666666666666,2.6945,0,1,0.0,1
2018-07-09,53.2040945,17.200000000000003,2.3692500000000005,0,5,0.0,1
2018-07-09,51.0164725,17.12583333333333,17.940250000000002,0,6,0.0,1
2018-07-09,144.634327,17.415,148.78333333333333,0,7,0.0,1
2018-07-09,223.49491,18.6775,335.5416666666667,0,8,0.0,0
2018-07-09,269.2918545,20.029166666666665,518.0166666666668,0,9,0.0,0
2018-07-09,283.413728,20.3925,650.5333333333334,0,10,0.0,2
2018-07-09,292.2513975,20.794999999999998,850.8166666666666,0,11,0.0,2
2018-07-09,284.496614,22.110000000000003,912.0166666666668,0,12,0.0,2
2018-07-09,291.701433,23.67,971.25,0,13,0.0,2
2018-07-09,304.287033,24.545,954.3333333333334,0,14,0.0,2
2018-07-09,310.36919900000004,26.439166666666665,893.1666666666666,0,15,0.0,2
2018-07-09,308.8285555,26.79666666666667,775.9166666666666,0,16,0.0,2
2018-07-09,301.0093145,25.029999999999998,623.8416666666667,0,17,0.0,2
2018-07-09,284.99632349999996,23.209999999999997,434.4916666666666,0,18,0.0,0
2018-07-09,237.992385,21.814166666666665,238.99166666666667,0,19,0.0,0
2018-07-09,110.4087055,19.77166666666667,65.94916666666667,0,20,0.0,1
2018-07-09,67.1028795,18.539999999999996,3.34675,0,21,0.0,1
2018-07-09,53.482682,17.89333333333333,2.0231666666666666,0,22,0.0,1
2018-07-09,50.768475,17.68916666666667,1.7579999999999998,0,23,0.0,1
2018-07-10,50.6524515,17.513333333333332,1.69325,1,0,0.0,1
2018-07-10,47.3399915,17.255833333333335,2.1915833333333334,1,1,0.0,1
2018-07-10,45.704519,17.24833333333333,2.1361666666666665,1,2,0.0,1
2018-07-10,48.7637375,16.904166666666672,1.3171666666666666,1,5,0.0,1
2018-07-10,54.9490355,16.813333333333333,6.368833333333334,1,6,0.0,1
2018-07-10,134.7168305,16.99333333333333,44.24666666666667,1,7,0.0,1
2018-07-10,228.204896,17.441666666666663,112.48333333333333,1,8,0.0,1
2018-07-10,263.4941755,18.45416666666667,314.34166666666664,1,9,0.0,0
2018-07-10,283.77971549999995,19.685,483.20000000000005,1,10,0.0,0
2018-07-10,288.1383535,20.28666666666667,732.4833333333332,1,11,0.0,2
2018-07-10,286.706523,21.41666666666666,954.0833333333334,1,12,0.0,2
2018-07-10,292.2684405,22.207500000000007,966.3333333333334,1,13,0.0,2
2018-07-10,302.415362,23.050833333333333,954.4166666666666,1,14,0.0,2
2018-07-10,302.173264,22.14833333333333,883.9166666666666,1,15,0.0,2
2018-07-10,304.8474855,22.18166666666667,766.6666666666666,1,16,0.0,2
2018-07-10,294.333484,22.020833333333332,607.725,1,17,0.0,2
2018-07-10,269.38930550000003,20.879166666666666,416.16666666666674,1,18,0.0,0
2018-07-10,216.30363799999998,19.545833333333334,213.53333333333333,1,19,0.0,0
2018-07-10,99.89383000000001,18.3725,54.98833333333334,1,20,0.0,1
2018-07-10,61.03950450000001,17.937499999999996,2.555916666666667,1,21,0.0,1
2018-07-10,49.051283500000004,17.648333333333337,2.007166666666667,1,22,0.0,1
